Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Number of Ratings,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store
Automotive & Motorbike,https://www.daraz.com.bd/oils-fluids/,"Flamingo Octane Booster for Motorcycle/Car 100ml (F124) Flamingo PEA Carbon Cleaner, Fuel Additive fuel saver Gasoline Octane booster",250,190,24.0,Darun Online Shop,196,90,0,100,Free Delivery,Cash on Delivery Available,No
Automotive & Motorbike,https://www.daraz.com.bd/oils-fluids/,Flamingo Octane Booster for Motorcycle/Car 250ml (F047) Fuel Additive fuel saver Gasoline Octane_booster,450,288,36.0,Darun Online Shop,245,90,0,100,Free Delivery,Cash on Delivery Available,No
Automotive & Motorbike,https://www.daraz.com.bd/oils-fluids/,Chain Lube 250 ml ( V-Fast / Koby / MRT ),350,191,45.0,Swift Ride,114,91,0,98,Free Delivery,Cash on Delivery Available,No
Automotive & Motorbike,https://www.daraz.com.bd/oils-fluids/,Bike 50ml Lubricant BORHAN BRAND Bicycle Chain Special Lube Lubricating Oil Chain Oil Cleaner,99,53,46.0,Jahanara Enterprise (KHL),15,85,0,70,Standard Delivery,Cash on Delivery Available,No
Automotive & Motorbike,https://www.daraz.com.bd/oils-fluids/,Gladiator Octane Booster 354 ML,375,247,34.0,Khidmah Mart,6,79,0,44,Standard Delivery,Cash on Delivery Available,No
Automotive & Motorbike,https://www.daraz.com.bd/oils-fluids/,Annex Fuel Octane Booster for Motorcycles and Cars: Optimize Engine Performance for a Smooth Ride,70,49,30.0,AZ Gadgets,51,91,0,100,Standard Delivery,Cash on Delivery Available,No
Automotive & Motorbike,https://www.daraz.com.bd/oils-fluids/,"‘Selleys’ - RP7 150G/211ML Multi -Purpose Anti Rust Spray (For Household, Bike, Car, Cycle etc usage)",330,300,9.0,Nippon Paint Bangladesh,38,91,0,100,Standard Delivery,Cash on Delivery Available,No
Automotive & Motorbike,https://www.daraz.com.bd/oils-fluids/,Annex Coolant For Motor Vehicle-1L,399,304,24.0,China Mart 24 BD,3,0,0,97,Standard Delivery,Cash on Delivery Available,No
Automotive & Motorbike,https://www.daraz.com.bd/oils-fluids/,Annex Fuel Octane Cleaner For Vehicle Car- 60ml,100,70,30.0,Amena Motors,2,0,0,100,Standard Delivery,Cash on Delivery Available,No
Automotive & Motorbike,https://www.daraz.com.bd/oils-fluids/,TR10Pro Silicone Treadmill Oil Lubricant For Treadmills - 200 ml,2500,503,80.0,BD Sports Mart,17,92,0,100,Free Delivery,Cash on Delivery Available,No
Automotive & Motorbike,https://www.daraz.com.bd/oils-fluids/,Flamingo Octane Mixing for Motor bike Car 250 ML,380,330,13.0,Gallerie Vespa,68,89,0,97,Free Delivery,Cash on Delivery Available,Yes
Automotive & Motorbike,https://www.daraz.com.bd/oils-fluids/,Annex Fuel Octane Cleaner for Car,100,78,22.0,Azad Express,0,76,0,100,Free Delivery,Cash on Delivery Available,No
Automotive & Motorbike,https://www.daraz.com.bd/oils-fluids/,Annex booster 30 ML(6PCs),300,289,4.0,Bikers Support BD(bangladesh),5,88,0,97,Free Delivery,Cash on Delivery Available,No
Automotive & Motorbike,https://www.daraz.com.bd/oils-fluids/,Flamingo Fuel Injector Cleaner Additives for Motorcycle/Car 300ml (F045) Fuel Gasoline Injector Cleaner Car System Petrol Saver Save Gas Oil Additive Restore Peak Performance 7.25OZ,500,340,32.0,Darun Online Shop,5,90,0,100,Free Delivery,Cash on Delivery Available,No
